ICD9Code,DisplayName,GroupDisplayName,ClassDisplayName,SubclassDisplayName
Unknwn,ICD9Code was unknown at the time it was researched,NULL,NULL,NULL
001.0,Cholera due to vibrio cholerae,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
001.9,Cholera unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
002.0,Typhoid fever,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
002.9,Paratyphoid fever unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
003.0,Salmonella gastroenteritis,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
003.1,Salmonella septicemia,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
003.20,Localized salmonella infection unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
003.22,Salmonella pneumonia,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
003.23,Salmonella arthritis,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
003.24,Salmonella osteomyelitis,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
003.8,Other specified salmonella infections,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
003.9,Salmonella infection unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
004.0,Shigella dysenteriae,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
004.1,Shigella flexneri,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
004.2,Shigella boydii,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
004.3,Shigella sonnei,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
004.9,Shigellosis unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
005.0,Staphylococcal food poisoning,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
005.1,Botulism food poisoning,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
005.3,Food poisoning due to other clostridia,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
005.4,Food poisoning due to vibrio parahaemolyticus,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
005.89,Other bacterial food poisoning,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
005.9,Food poisoning unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
006.0,Acute amebic dysentery without abscess,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
006.1,Chronic intestinal amebiasis without abscess,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
006.2,Amebic nondysenteric colitis,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
006.3,Amebic liver abscess,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
006.4,Amebic lung abscess,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
006.5,Amebic brain abscess,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
006.6,Amebic skin ulceration,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
006.8,Amebic infection of other sites,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
006.9,Amebiasis unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
007.0,Balantidiasis,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
007.1,Giardiasis,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
007.2,Coccidiosis,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
007.3,Intestinal trichomoniasis,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
007.4,Cryptosporidiosis,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
007.5,Cyclosporiasis,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
007.8,Other specified protozoal intestinal diseases,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
007.9,Unspecified protozoal intestinal disease,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.00,Intestinal infection due to e. coli unspecified,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
008.01,Intestinal infection due to enteropathogenic e. coli,"Diagnoses, Syndromes And Conditions",Infectious And Parasitic Diseases,Intestinal Infectious Diseases
